,commentIds,comments
148,FDA-2012-D-0071-0355,"Please pay attention to these comments. and help stop this when PETA emailed me about this issue, it literally made me want to vomit, it is so cruel and intense. I can't imagine how many poor innocent animals are going through this. For the people and this goverment/law need to notice this. and make it stop, stick your self into a tube that you can barely move in feeling claustrophobic helpless, and every breath you take your inhaling smoke and tobacco. Obama our president needs to start noticing this type of cruel. it is just plain wrong. please I urge you guys to help or do something to make it stop, it's not right not even close to humanly normal. thanks"
149,FDA-2012-D-0071-1397,...leave animals alone . they are to be respected also. leave them out of experiments . thank you
150,FDA-2013-N-0521-0081,See attached file(s)
151,FDA-2012-D-0071-1677,"I just saw a ridiculus picture of what I think are rats or ginny pigs being used and abused in a cruel manner for an experiment for tobacco studies. As an advocate for ALL animals please, please, please STOP doing these types of experiments! That is clearly animal ABUSE!!! Please Stop using and torturing animals for the selfish sake of science experiments!!! Just because they can't speak out language DOESN'T mean they dont FEEL!!! Just please STOP!!!"
154,FDA-2013-N-0521-0143,National Fraternal Order of Police (FOP) - Comment
155,FDA-2009-N-0294-0232,Smoking is injurious to health  Therefore it should be abolished as much as possible.
157,FDA-2013-N-0521-0419,"Please accept these comments from Commissioner Loretta J. Smith, Multnomah County Board of Commissioners - District 2, Portland, Oregon.  Thank you!Jimmy D. Brown, Chief of StaffCommissioner Loretta J. Smith"
158,FDA-2013-N-0521-0433,See attached file(s)
159,FDA-2011-N-0271-0013,"Arista Laboratories has conducted numerous experiments to develop robust and reliable methods for the detection and quantification of harmful and potentially harmful constituents (HPHCs) in tobacco products and tobacco smoke.  Arista is prepared to identify and quantify the analytes as listed in the Federal Register (Vol. 76, No. 156); however, our studies have shown that four constituents from those listed are not components of either tobacco or tobacco smoke.  The analytes in question are N-Nitrosodiethanolamine (NDELA), Dibenz[a,h]acridine, Dibenz[a,j]acridine and 7H-Dibenz[c,g]carbazole.Method development and validation for all components has been carried out, but during these studies, no detectable level of these compounds was measured in contemporary tobacco products or smoke.  Please refer to the attached letter for a complete historical and scientific review of this work."
162,FDA-2012-D-0071-0357,"Please stop abusing animals for tobacco, a known carcinogen"
163,TTB-2009-0002-0014,"Comments are being submitted via attached Word document.  If you have questions, please call using the phone number provided."
165,FDA-2012-D-0071-0707,"Please remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as direct.In some of the horrendous tobacco tests that could be conducted, rats would be forced to breathe tobacco smoke for as long as six hours a day for months at a time by jamming the animals into tiny canisters and pumping concentrated cigarette smoke directly into their noses. The animals would then be killed and their bodies dissected."
168,FDA-2009-N-0294-0228,"Dear Commissioner Hamburg, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely,Christina Graybill"
